DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"312860 GUARDA-MOR";1;-;-;-;-;-;-;-;-;1
"312870 GUAXUPE";-;-;-;1;-;-;-;-;-;1
"312900 GUIRICEMA";1;-;-;-;1;-;-;-;-;2
"312910 GURINHATA";-;-;-;-;1;-;-;-;-;1
"312930 IAPU";3;2;-;1;3;4;-;-;-;13
"312960 IBIAI";-;-;-;1;-;-;-;-;-;1
"312965 IBIRACATU";2;-;-;-;3;1;1;-;-;7
"312970 IBIRACI";-;1;-;-;-;-;-;-;-;1
"312980 IBIRITE";2;-;1;1;5;3;1;-;-;13
"313000 IBITURUNA";1;-;-;-;-;-;1;-;-;2
"313005 ICARAI DE MINAS";-;-;-;1;-;-;-;-;-;1
"313010 IGARAPE";12;6;8;7;11;16;12;12;15;99
"313020 IGARATINGA";-;-;-;-;1;2;-;-;-;3
"313050 ILICINEA";-;-;-;-;-;1;-;-;1;2
"313090 INHAPIM";-;-;-;2;-;2;2;-;-;6
"313100 INHAUMA";-;2;1;-;-;-;-;-;-;3
"313115 IPABA";1;4;3;7;6;3;4;2;-;30
"313130 IPATINGA";18;30;23;32;29;34;34;22;2;224
"313140 IPIACU";25;22;-;1;1;1;-;-;-;50
"313170 ITABIRA";2;1;-;-;-;-;-;-;-;3
"313180 ITABIRINHA";-;1;1;-;-;1;-;-;-;3
"313190 ITABIRITO";-;-;1;1;1;3;2;1;1;10
"313200 ITACAMBIRA";-;-;-;-;-;-;-;1;-;1
"313220 ITAGUARA";-;1;1;-;-;-;-;-;-;2
"313240 ITAJUBA";-;1;1;-;-;2;-;-;-;4
"313250 ITAMARANDIBA";-;-;-;-;-;1;-;-;-;1
"313270 ITAMBACURI";5;1;3;1;-;1;1;-;-;12
"313310 ITANHANDU";-;-;-;-;-;-;-;-;1;1
"313320 ITANHOMI";-;-;-;-;-;-;-;1;-;1
"313340 ITAPAGIPE";-;-;-;-;-;1;-;-;-;1
"313350 ITAPECERICA";-;-;-;-;1;1;-;1;1;4
"313410 ITUETA";-;-;-;-;1;-;1;1;-;3
"313420 ITUIUTABA";9;4;9;60;105;143;150;86;3;569
"313440 ITURAMA";4;1;6;4;1;-;4;2;-;22
"313505 JAIBA";-;-;-;-;-;-;-;1;-;1
"313510 JANAUBA";16;11;11;9;14;45;66;45;44;261
"313520 JANUARIA";1;1;1;5;30;39;34;19;10;140
"313545 JENIPAPO DE MINAS";-;-;-;-;1;1;-;-;-;2
"313570 JEQUITIBA";-;-;-;1;-;-;-;-;-;1
"313580 JEQUITINHONHA";-;1;1;-;-;-;2;-;-;4
"313610 JOANESIA";-;-;-;2;1;-;-;-;-;3
"313620 JOAO MONLEVADE";2;-;2;-;1;-;-;-;-;5
"313630 JOAO PINHEIRO";-;-;-;-;-;1;-;2;1;4
"313640 JOAQUIM FELICIO";-;-;1;-;-;-;-;-;-;1
"313670 JUIZ DE FORA";4;1;3;-;-;-;-;1;-;9
"313680 JURAMENTO";-;-;-;-;-;1;-;-;-;1
"313720 LAGOA DA PRATA";12;9;3;5;-;-;1;-;-;30
"313730 LAGOA DOS PATOS";-;-;-;1;-;-;-;1;-;2
"313740 LAGOA DOURADA";-;-;-;-;-;1;-;-;-;1
"313750 LAGOA FORMOSA";-;-;-;1;1;-;-;-;-;2
"313753 LAGOA GRANDE";-;-;-;-;-;1;1;-;-;2
"313760 LAGOA SANTA";-;1;-;-;-;-;-;-;-;1
"313780 LAMBARI";1;-;-;-;-;-;-;-;-;1
"313820 LAVRAS";2;-;-;-;1;2;-;-;-;5
"313840 LEOPOLDINA";-;-;1;-;-;-;-;-;-;1
"313865 LONTRA";-;-;-;-;-;1;-;-;-;1
"313868 LUISLANDIA";3;1;3;2;1;4;3;2;-;19
"313880 LUZ";-;-;-;1;-;-;-;-;-;1
"313890 MACHACALIS";-;-;-;1;7;7;43;70;56;184
"313920 MALACACHETA";-;-;-;-;-;-;-;-;1;1
"313925 MAMONAS";1;-;-;-;-;-;-;-;-;1
"313950 MANHUMIRIM";-;-;1;-;-;-;-;2;-;3
"313960 MANTENA";-;-;-;1;1;1;3;-;-;6
"313990 MARIA DA FE";1;1;-;1;-;1;1;-;-;5
"314000 MARIANA";-;-;-;1;2;1;1;1;2;8
"314015 MARIO CAMPOS";-;-;-;-;1;1;-;2;2;6
"314030 MARLIERIA";-;-;-;-;-;-;-;2;-;2
"314050 MARTINHO CAMPOS";-;-;-;-;-;-;-;1;-;1
"314070 MATEUS LEME";-;-;-;1;-;1;-;1;-;3
"314080 MATIAS BARBOSA";-;-;1;-;-;-;-;-;-;1
"314085 MATIAS CARDOSO";-;-;-;-;-;-;-;1;-;1
"314090 MATIPO";1;-;1;-;-;-;-;-;-;2
"314110 MATOZINHOS";-;-;-;1;3;4;2;-;-;10
"314180 MINAS NOVAS";4;3;2;-;-;-;-;1;-;10
"314220 MIRAI";-;-;-;-;-;1;2;1;1;5
"314230 MOEDA";-;-;-;-;-;1;-;1;-;2
"314250 MONJOLOS";-;-;1;2;-;-;1;-;-;4
"314300 MONTE BELO";-;-;-;-;-;-;5;2;-;7
"314310 MONTE CARMELO";3;3;2;2;4;4;3;4;1;26
"314330 MONTES CLAROS";-;1;-;1;-;2;1;-;-;5
"314340 MONTE SIAO";-;-;-;-;1;-;-;-;-;1
"314350 MORADA NOVA DE MINAS";1;-;-;-;-;-;-;-;-;1
"314437 NATALANDIA";-;-;-;-;-;-;-;1;-;1
"314440 NATERCIA";-;-;-;-;-;-;-;1;-;1
"314450 NAZARENO";-;-;-;-;-;1;-;-;-;1
"314460 NEPOMUCENO";-;-;-;-;-;-;-;1;5;6
"314480 NOVA LIMA";-;-;-;1;-;-;-;-;-;1
"314500 NOVA PONTE";-;1;-;-;-;-;-;-;-;1
"314505 NOVA PORTEIRINHA";1;-;-;-;-;2;2;5;-;10
"314510 NOVA RESENDE";-;-;-;2;-;-;-;-;-;2
"314520 NOVA SERRANA";8;16;9;9;8;10;25;46;14;145
"314530 NOVO CRUZEIRO";-;-;-;1;5;1;-;4;-;11
"314537 NOVORIZONTE";-;4;6;5;1;-;1;5;1;23
"314600 OURO FINO";2;-;2;-;-;-;-;-;-;4
"314610 OURO PRETO";-;-;-;-;-;-;1;-;-;1
"314620 OURO VERDE DE MINAS";-;-;1;-;-;-;1;2;-;4
"314625 PADRE CARVALHO";4;-;-;1;-;-;-;-;-;5
"314655 PAI PEDRO";1;-;-;1;-;1;-;1;-;4
"314670 PALMA";-;1;1;-;-;2;5;1;-;10
"314700 PARACATU";-;-;-;-;-;3;1;4;-;8
"314710 PARA DE MINAS";-;1;-;-;-;-;-;-;-;1
"314720 PARAGUACU";-;-;-;-;-;-;1;-;-;1
"314740 PARAOPEBA";-;-;-;-;1;3;5;10;8;27
"314790 PASSOS";-;-;-;-;1;-;1;-;-;2
"314800 PATOS DE MINAS";1;1;-;1;3;2;1;2;2;13
"314810 PATROCINIO";5;8;5;3;2;3;4;1;2;33
"314820 PATROCINIO DO MURIAE";1;-;1;2;1;5;2;-;-;12
"314915 PEDRAS DE MARIA DA CRUZ";-;-;-;-;-;1;-;-;-;1
"314930 PEDRO LEOPOLDO";-;-;-;-;-;-;7;34;10;51
"314980 PERDIZES";1;-;2;-;-;-;1;-;-;4
"314990 PERDOES";1;-;-;-;-;-;-;2;-;3
"314995 PERIQUITO";1;-;-;-;-;-;-;-;-;1
"315015 PIEDADE DE CARATINGA";-;2;2;-;1;-;1;-;-;6
"315053 PINGO-D'AGUA";-;-;-;-;-;-;-;-;1;1
"315080 PIRANGA";-;-;-;-;-;-;1;-;-;1
"315120 PIRAPORA";-;-;-;-;-;-;-;-;3;3
"315140 PITANGUI";1;-;-;1;1;3;1;3;3;13
"315160 PLANURA";1;-;-;2;4;8;14;10;-;39
"315170 POCO FUNDO";1;-;-;-;1;1;-;-;-;3
"315180 POCOS DE CALDAS";1;1;-;-;-;1;-;-;-;3
"315200 POMPEU";-;-;6;7;2;2;18;24;6;65
"315210 PONTE NOVA";-;-;-;1;1;1;-;-;-;3
"315213 PONTO CHIQUE";-;-;-;-;-;-;-;2;-;2
"315220 PORTEIRINHA";-;-;-;-;-;2;-;2;-;4
"315230 PORTO FIRME";-;1;1;1;-;-;-;-;-;3
"315240 POTE";-;-;-;-;-;1;-;-;-;1
"315250 POUSO ALEGRE";-;-;1;-;-;-;1;-;-;2
"315270 PRADOS";-;1;-;-;-;-;-;-;-;1
"315280 PRATA";55;58;72;49;70;79;62;19;8;472
"315310 PRESIDENTE BERNARDES";1;-;-;-;-;-;-;-;-;1
"315320 PRESIDENTE JUSCELINO";-;-;-;2;1;-;1;-;-;4
"315350 ALTO JEQUITIBA";-;-;-;-;-;-;-;3;-;3
"315360 PRUDENTE DE MORAIS";1;-;-;-;-;-;-;-;-;1
"315390 RAPOSOS";1;-;-;-;-;1;-;-;-;2
"315400 RAUL SOARES";-;-;-;2;-;1;1;-;-;4
"315415 REDUTO";-;1;-;-;-;-;-;-;-;1
"315430 RESPLENDOR";-;-;-;-;1;1;1;4;3;10
"315445 RIACHINHO";-;1;-;1;-;-;-;-;-;2
"315460 RIBEIRAO DAS NEVES";5;7;1;2;4;15;1;3;-;38
"315470 RIBEIRAO VERMELHO";-;-;-;-;-;-;-;1;-;1
"315550 RIO PARANAIBA";-;-;1;2;2;1;4;1;-;11
"315560 RIO PARDO DE MINAS";1;1;-;1;-;-;1;-;-;4
"315580 RIO POMBA";-;1;-;-;-;-;-;-;1;2
"315640 ROMARIA";-;-;1;-;-;-;-;-;-;1
"315660 RUBIM";-;-;-;-;-;1;1;1;-;3
"315670 SABARA";1;2;1;2;4;5;2;6;2;25
"315680 SABINOPOLIS";1;-;-;-;-;-;-;-;1;2
"315700 SALINAS";-;-;-;-;-;-;1;-;-;1
"315750 SANTA EFIGENIA DE MINAS";-;1;-;-;-;-;-;-;-;1
"315765 SANTA HELENA DE MINAS";-;-;2;-;1;-;-;3;3;9
"315770 SANTA JULIANA";-;-;2;3;4;6;3;12;-;30
"315780 SANTA LUZIA";8;-;3;4;-;-;-;-;-;15
"315790 SANTA MARGARIDA";1;-;-;-;-;-;-;-;-;1
"315895 SANTANA DO PARAISO";-;3;1;2;5;2;2;2;-;17
"315950 SANTA RITA DO ITUETO";1;-;-;1;3;-;-;-;-;5
"315960 SANTA RITA DO SAPUCAI";-;-;-;-;-;4;3;-;-;7
"315970 SANTA ROSA DA SERRA";-;-;-;-;-;-;-;-;2;2
"315980 SANTA VITORIA";9;1;3;10;3;5;10;16;4;61
"316000 SANTO ANTONIO DO AVENTUREIRO";1;1;-;-;-;-;-;-;-;2
"316020 SANTO ANTONIO DO ITAMBE";-;-;-;-;-;-;1;-;-;1
"316060 SANTO HIPOLITO";-;-;-;-;-;-;2;-;-;2
"316080 SAO BENTO ABADE";-;-;1;-;-;-;-;1;-;2
"316095 SAO DOMINGOS DAS DORES";-;-;-;1;-;-;-;-;-;1
"316100 SAO DOMINGOS DO PRATA";-;-;-;-;-;1;-;1;-;2
"316110 SAO FRANCISCO";1;-;-;-;-;4;8;1;-;14
"316150 SAO GERALDO";3;2;7;-;3;-;-;-;-;15
"316160 SAO GERALDO DA PIEDADE";-;-;1;-;2;-;-;-;-;3
"316165 SAO GERALDO DO BAIXIO";-;-;-;-;-;1;-;-;-;1
"316190 SAO GONCALO DO RIO ABAIXO";1;-;1;-;-;-;-;-;-;2
"316210 SAO GOTARDO";-;-;-;-;-;1;1;1;1;4
"316225 SAO JOAO DA LAGOA";2;-;2;-;2;-;-;-;-;6
"316240 SAO JOAO DA PONTE";-;1;2;1;3;-;-;-;1;8
"316245 SAO JOAO DAS MISSOES";-;-;-;-;-;1;1;1;-;3
"316250 SAO JOAO DEL REI";1;-;2;4;1;1;-;1;-;10
"316255 SAO JOAO DO MANHUACU";-;-;-;1;-;-;-;-;-;1
"316260 SAO JOAO DO ORIENTE";-;-;-;-;-;1;4;1;-;6
"316265 SAO JOAO DO PACUI";-;-;-;1;1;-;-;-;-;2
"316292 SAO JOAQUIM DE BICAS";-;-;-;1;1;-;-;-;-;2
"316294 SAO JOSE DA BARRA";-;1;-;-;-;-;-;-;-;1
"316295 SAO JOSE DA LAPA";1;-;-;-;-;-;-;-;-;1
"316350 SAO JOSE DO JACURI";-;-;-;-;-;-;-;-;1;1
"316470 SAO SEBASTIAO DO PARAISO";2;-;-;-;3;5;3;-;-;13
"316500 SAO TIAGO";-;-;-;1;-;-;-;-;-;1
"316510 SAO TOMAS DE AQUINO";1;-;-;-;-;-;-;-;-;1
"316680 SERRA DO SALITRE";-;-;-;-;-;2;5;3;-;10
"316690 SERRANIA";1;-;-;-;-;-;-;-;-;1
"316695 SERRANOPOLIS DE MINAS";-;-;-;-;-;-;-;-;1;1
"316710 SERRO";-;-;-;-;-;-;2;1;-;3
"316720 SETE LAGOAS";-;-;-;-;-;-;-;1;-;1
"316760 SIMONESIA";-;-;-;-;1;-;-;-;-;1
"316800 TAIOBEIRAS";-;-;-;1;2;1;5;5;2;16
"316805 TAPARUBA";-;-;-;-;-;-;1;-;-;1
"316810 TAPIRA";-;-;-;-;-;-;-;1;-;1
"316850 TEIXEIRAS";-;-;1;-;-;-;-;-;-;1
"316870 TIMOTEO";4;2;10;6;12;3;5;11;3;56
"316890 TIROS";-;-;-;2;-;-;-;-;2;4
"316930 TRES CORACOES";-;-;-;-;-;-;-;1;1;2
"316940 TRES PONTAS";-;-;-;-;-;-;1;-;-;1
"316960 TUPACIGUARA";1;-;1;5;29;7;14;12;-;69
"316970 TURMALINA";1;2;1;1;-;-;4;3;1;13
"316990 UBA";8;9;15;5;10;3;1;1;1;53
"317000 UBAI";-;3;1;3;2;1;-;1;-;11
"317010 UBERABA";2;-;3;6;2;2;1;-;-;16
"317020 UBERLANDIA";93;109;117;121;55;64;58;119;62;798
"317030 UMBURATIBA";-;-;2;-;-;-;-;-;-;2
"317043 UNIAO DE MINAS";-;-;-;-;1;-;-;-;-;1
"317047 URUANA DE MINAS";-;-;-;-;-;-;1;-;-;1
"317052 URUCUIA";8;3;1;-;2;2;1;-;-;17
"317070 VARGINHA";1;4;2;-;1;1;2;2;1;14
"317080 VARZEA DA PALMA";4;-;-;3;1;1;1;1;-;11
"317090 VARZELANDIA";-;-;-;-;-;-;1;-;-;1
"317100 VAZANTE";1;1;2;7;7;4;4;-;-;26
"317103 VERDELANDIA";-;-;-;-;-;-;1;-;1;2
"317120 VESPASIANO";4;-;-;-;1;-;-;-;-;5
"317130 VICOSA";-;2;-;1;-;-;-;1;-;4
"317140 VIEIRAS";-;-;1;-;-;-;-;-;-;1
"317150 MATHIAS LOBATO";-;-;-;-;1;-;-;-;-;1
"317180 VIRGINOPOLIS";-;-;-;-;-;1;-;-;-;1
"317190 VIRGOLANDIA";-;-;2;-;-;-;-;-;-;2
"317200 VISCONDE DO RIO BRANCO";-;-;1;-;-;-;1;-;-;2
"320040 ANCHIETA";-;1;-;-;-;-;-;-;-;1
"320050 APIACA";-;-;-;-;-;-;-;1;-;1
"320080 BAIXO GUANDU";-;-;-;1;-;-;-;-;-;1
"320130 CARIACICA";-;-;1;-;-;-;-;-;-;1
"320190 DOMINGOS MARTINS";-;-;-;-;1;-;-;-;-;1
"320240 GUARAPARI";-;-;1;-;-;-;-;-;-;1
"320280 ITAPEMIRIM";-;-;-;1;-;-;-;2;-;3
"320370 MUNIZ FREIRE";-;-;1;-;-;-;-;-;-;1
"320420 PIUMA";-;-;-;-;1;-;-;-;-;1
"320450 SANTA LEOPOLDINA";-;-;-;1;-;-;-;-;-;1
"320500 SERRA";-;-;1;-;-;-;-;-;-;1
"320520 VILA VELHA";-;-;-;-;-;-;-;1;-;1
"330010 ANGRA DOS REIS";-;-;-;-;-;-;1;-;-;1
"330020 ARARUAMA";-;-;1;-;-;-;-;-;-;1
"330025 ARRAIAL DO CABO";1;-;-;-;-;-;-;-;-;1
"330040 BARRA MANSA";1;2;1;1;-;-;-;-;-;5
"330080 CACHOEIRAS DE MACACU";-;1;-;-;-;-;-;-;-;1
"330100 CAMPOS DOS GOYTACAZES";-;-;1;-;-;-;-;-;-;1
"330115 CARDOSO MOREIRA";-;-;1;-;-;-;-;-;-;1
"330120 CARMO";-;-;1;-;-;-;1;-;-;2
"330130 CASIMIRO DE ABREU";1;-;-;-;-;1;-;-;-;2
"330170 DUQUE DE CAXIAS";-;-;-;-;-;-;-;-;1;1
"330180 ENGENHEIRO PAULO DE FRONTIN";-;-;-;-;-;-;-;1;-;1
"330185 GUAPIMIRIM";-;-;1;-;-;-;-;-;-;1
"330190 ITABORAI";-;-;-;-;-;-;3;7;-;10
"330200 ITAGUAI";-;1;-;-;-;-;-;-;-;1
"330205 ITALVA";-;-;-;-;-;1;2;-;-;3
"330225 ITATIAIA";1;-;1;-;-;1;-;-;-;3
"330240 MACAE";1;-;1;1;4;-;-;2;-;9
"330250 MAGE";-;1;-;-;-;-;1;-;-;2
"330260 MANGARATIBA";1;-;-;1;-;-;-;-;-;2
"330270 MARICA";1;-;-;-;-;-;-;-;-;1
"330280 MENDES";-;-;1;1;-;-;-;-;-;2
"330285 MESQUITA";-;-;-;-;1;-;-;-;-;1
"330300 MIRACEMA";3;-;2;1;3;1;3;3;-;16
"330320 NILOPOLIS";-;-;-;-;-;-;1;-;-;1
"330330 NITEROI";-;-;-;1;-;1;1;2;-;5
"330340 NOVA FRIBURGO";2;2;-;-;-;1;3;1;-;9
"330350 NOVA IGUACU";-;-;-;-;1;1;-;-;-;2
"330360 PARACAMBI";-;-;1;1;-;-;2;-;-;4
"330380 PARATY";-;-;-;1;-;-;-;-;-;1
"330390 PETROPOLIS";-;-;1;-;-;-;-;-;-;1
"330414 QUEIMADOS";-;-;1;-;-;-;-;-;-;1
"330420 RESENDE";-;-;-;-;-;1;-;1;-;2
"330450 RIO DAS FLORES";1;-;-;-;1;-;-;-;-;2
"330452 RIO DAS OSTRAS";1;1;-;-;-;-;-;-;-;2
"330455 RIO DE JANEIRO";33;38;30;41;40;40;80;103;106;511
"330470 SANTO ANTONIO DE PADUA";-;-;-;-;-;-;2;-;-;2
"330490 SAO GONCALO";-;-;-;-;-;1;-;-;-;1
"330510 SAO JOAO DE MERITI";-;-;-;-;-;-;2;-;-;2
"330515 SAO JOSE DO VALE DO RIO PRETO";-;-;-;-;-;-;-;1;1;2
"330520 SAO PEDRO DA ALDEIA";1;-;-;-;-;-;-;-;-;1
"330555 SEROPEDICA";-;-;-;-;-;-;-;1;-;1
"330580 TERESOPOLIS";1;-;1;-;-;-;-;-;-;2
"330590 TRAJANO DE MORAES";-;-;-;-;-;3;-;-;-;3
"330610 VALENCA";-;-;-;-;-;-;1;-;-;1
"330630 VOLTA REDONDA";-;-;-;-;-;-;1;-;-;1
"350010 ADAMANTINA";-;-;-;-;1;-;1;1;-;3
"350030 AGUAI";1;4;3;3;10;6;7;10;6;50
"350040 AGUAS DA PRATA";-;-;-;-;-;1;1;-;-;2
"350050 AGUAS DE LINDOIA";-;-;-;-;-;1;-;-;-;1
"350055 AGUAS DE SANTA BARBARA";1;-;-;-;-;-;-;-;-;1
"350060 AGUAS DE SAO PEDRO";1;-;-;-;-;-;-;-;-;1
"350070 AGUDOS";1;2;-;1;1;2;1;1;-;9
"350090 ALTAIR";-;-;-;-;-;-;1;2;1;4
"350110 ALTO ALEGRE";-;-;1;-;-;-;-;1;-;2
"350130 ALVARES MACHADO";-;-;1;-;-;1;-;-;-;2
"350140 ALVARO DE CARVALHO";-;1;-;-;-;-;-;-;-;1
"350160 AMERICANA";2;6;-;2;-;2;3;4;-;19
"350170 AMERICO BRASILIENSE";-;-;-;-;-;1;2;-;1;4
"350180 AMERICO DE CAMPOS";-;-;-;-;-;-;-;-;1;1
"350190 AMPARO";6;1;1;4;-;-;4;4;1;21
"350200 ANALANDIA";1;-;-;-;-;1;-;-;-;2
"350210 ANDRADINA";2;6;2;-;3;3;3;3;-;22
"350220 ANGATUBA";-;-;-;-;-;-;1;-;-;1
"350230 ANHEMBI";-;-;1;-;-;-;-;-;-;1
"350250 APARECIDA";1;1;1;-;-;-;1;3;-;7
"350260 APARECIDA D'OESTE";-;-;-;-;-;-;-;1;-;1
"350275 ARACARIGUAMA";1;2;1;-;1;-;-;-;-;5
"350280 ARACATUBA";7;29;26;36;34;31;37;30;18;248
"350300 ARAMINA";1;-;-;-;-;1;1;3;-;6
"350320 ARARAQUARA";8;9;4;3;8;7;3;6;8;56
"350330 ARARAS";1;3;1;1;2;2;3;1;-;14
"350350 AREIAS";-;-;-;-;1;-;-;-;-;1
"350360 AREIOPOLIS";1;-;1;-;-;-;-;-;-;2
"350370 ARIRANHA";1;-;1;-;-;-;-;-;-;2
"350380 ARTUR NOGUEIRA";-;-;1;-;-;-;1;-;-;2
"350390 ARUJA";-;-;-;-;-;1;1;-;-;2
"350400 ASSIS";38;42;38;21;27;23;26;26;31;272
"350410 ATIBAIA";18;16;16;22;13;15;21;7;4;132
"350420 AURIFLAMA";-;-;-;-;1;-;-;1;-;2
"350450 AVARE";3;-;5;3;1;-;-;-;1;13
"350460 BADY BASSITT";1;-;1;1;-;1;-;-;-;4
"350480 BALSAMO";2;4;2;-;1;3;1;-;3;16
"350490 BANANAL";1;-;-;-;-;-;2;-;-;3
"350500 BARAO DE ANTONINA";-;-;-;-;-;1;-;-;-;1
"350530 BARRA BONITA";-;1;1;-;-;-;-;-;-;2
"350550 BARRETOS";7;4;4;5;1;3;3;2;-;29
"350560 BARRINHA";-;1;-;-;-;-;-;-;1;2
"350570 BARUERI";2;1;1;1;2;-;4;1;-;12
"350580 BASTOS";5;4;5;2;2;-;2;4;1;25
"350590 BATATAIS";1;2;-;-;-;-;-;-;-;3
"350600 BAURU";4;12;7;7;2;1;3;1;-;37
"350620 BENTO DE ABREU";-;-;-;-;1;-;-;1;-;2
"350635 BERTIOGA";1;-;-;-;-;2;-;-;-;3
"350640 BILAC";-;-;-;-;-;-;-;-;1;1
"350650 BIRIGUI";57;34;33;37;30;30;33;2;2;258
"350680 BOCAINA";-;-;-;-;-;-;-;1;-;1
"350700 BOITUVA";-;-;-;2;-;-;1;1;1;5
"350740 BORBOREMA";3;-;-;4;-;-;-;2;1;10
"350745 BOREBI";-;-;-;-;-;-;-;1;-;1
"350750 BOTUCATU";5;2;-;1;3;-;1;2;3;17
"350760 BRAGANCA PAULISTA";-;-;-;1;-;1;-;-;-;2
"350770 BRAUNA";1;-;-;1;-;-;1;-;-;3
"350790 BROTAS";3;1;-;1;-;-;1;-;-;6
"350800 BURI";-;-;-;2;-;-;-;-;-;2
"350810 BURITAMA";5;1;1;-;4;-;3;1;-;15
"350840 CABREUVA";-;-;-;-;-;-;1;1;-;2
"350850 CACAPAVA";5;17;9;-;3;2;1;-;-;37
"350860 CACHOEIRA PAULISTA";1;-;-;-;1;-;-;1;-;3
"350870 CACONDE";-;-;1;-;-;-;-;-;-;1
"350930 CAJOBI";-;-;-;1;-;4;4;4;-;13
"350940 CAJURU";-;1;1;1;-;-;-;-;-;3
"350945 CAMPINA DO MONTE ALEGRE";-;-;-;-;1;-;1;-;-;2
"350950 CAMPINAS";151;140;109;95;109;114;143;122;78;1061
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;-;-;-;-;1;1
"350970 CAMPOS DO JORDAO";-;-;-;-;-;-;-;1;-;1
"351000 CANDIDO MOTA";1;1;1;1;2;2;-;1;2;11
"351020 CAPAO BONITO";-;-;-;2;1;1;-;1;-;5
"351050 CARAGUATATUBA";5;5;3;3;5;9;10;5;1;46
"351060 CARAPICUIBA";-;1;1;1;-;6;7;4;-;20
"351070 CARDOSO";2;-;-;2;-;-;-;-;-;4
"351080 CASA BRANCA";-;-;-;1;-;-;-;-;-;1
"351100 CASTILHO";-;-;-;-;-;1;-;-;-;1
"351110 CATANDUVA";9;15;15;16;17;18;11;-;-;101
"351130 CEDRAL";3;1;-;1;1;-;2;-;-;8
"351150 CERQUILHO";-;1;-;1;2;2;-;-;-;6
"351160 CESARIO LANGE";-;-;-;-;-;1;-;-;-;1
"351200 COLINA";-;1;-;-;-;-;-;-;-;1
"351230 CONCHAS";-;-;3;-;1;-;1;-;-;5
"351240 CORDEIROPOLIS";1;1;-;-;1;-;-;-;-;3
"351250 COROADOS";-;-;-;-;-;-;1;-;-;1
"351280 COSMOPOLIS";1;3;-;-;-;1;-;-;-;5
"351290 COSMORAMA";-;-;1;-;-;-;-;-;-;1
"351300 COTIA";1;1;1;-;-;2;1;2;2;10
"351310 CRAVINHOS";2;2;5;2;-;-;-;-;-;11
"351330 CRUZALIA";-;-;-;-;1;-;-;-;-;1
"351340 CRUZEIRO";-;-;-;-;-;-;-;-;1;1
"351350 CUBATAO";-;-;-;-;-;-;1;-;-;1
"351360 CUNHA";-;-;-;-;-;1;-;-;-;1
"351370 DESCALVADO";-;-;-;-;-;1;-;-;-;1
"351380 DIADEMA";3;3;1;-;8;7;1;10;2;35
"351430 DOURADO";2;-;-;-;-;-;-;-;-;2
"351440 DRACENA";8;7;8;15;14;14;7;8;-;81
"351460 DUMONT";1;-;-;1;-;-;-;-;-;2
"351480 ELDORADO";-;-;1;-;-;-;-;-;-;1
"351490 ELIAS FAUSTO";1;1;-;1;-;-;-;-;-;3
"351500 EMBU DAS ARTES";-;-;-;1;2;-;-;-;-;3
"351512 EMILIANOPOLIS";-;-;-;-;1;-;-;-;-;1
"351515 ENGENHEIRO COELHO";-;-;-;2;1;-;-;1;-;4
"351518 ESPIRITO SANTO DO PINHAL";-;4;1;-;1;2;5;4;3;20
"351519 ESPIRITO SANTO DO TURVO";-;-;-;-;-;1;1;3;-;5
"351535 EUCLIDES DA CUNHA PAULISTA";-;-;-;-;-;-;1;-;-;1
"351540 FARTURA";1;1;3;-;1;-;-;-;-;6
"351550 FERNANDOPOLIS";1;6;1;2;1;10;9;2;-;32
"351570 FERRAZ DE VASCONCELOS";3;1;1;-;2;-;3;-;2;12
"351600 FLORIDA PAULISTA";1;-;-;-;-;-;-;-;-;1
"351610 FLORINEA";-;-;-;-;-;-;2;-;-;2
"351620 FRANCA";36;31;36;32;44;34;63;53;51;380
"351630 FRANCISCO MORATO";1;1;-;1;1;2;2;-;-;8
"351640 FRANCO DA ROCHA";2;1;2;2;2;-;1;1;1;12
"351660 GALIA";-;2;-;-;-;-;-;-;-;2
"351670 GARCA";2;4;1;1;-;-;-;-;-;8
"351685 GAVIAO PEIXOTO";-;-;-;-;-;-;-;-;1;1
"351690 GENERAL SALGADO";-;-;-;1;-;2;2;-;-;5
"351740 GUAIRA";7;7;2;1;2;-;1;-;-;20
"351750 GUAPIACU";1;1;2;3;4;2;1;2;-;16
"351770 GUARA";1;-;-;-;-;-;-;-;-;1
"351780 GUARACAI";1;-;-;-;-;-;-;-;-;1
"351790 GUARACI";-;-;-;-;1;-;-;-;-;1
"351800 GUARANI D'OESTE";-;1;-;-;-;-;-;-;-;1
"351820 GUARARAPES";1;2;7;-;-;1;1;15;13;40
"351830 GUARAREMA";1;4;-;-;1;2;3;3;1;15
"351840 GUARATINGUETA";1;2;-;1;1;1;-;-;-;6
"351860 GUARIBA";-;-;-;-;-;-;1;1;-;2
"351870 GUARUJA";17;11;16;14;24;34;23;16;-;155
"351880 GUARULHOS";13;12;5;7;5;5;4;3;2;56
"351890 GUZOLANDIA";-;1;-;1;-;1;-;-;-;3
"351905 HOLAMBRA";-;-;-;-;4;2;4;-;-;10
"351907 HORTOLANDIA";5;2;-;-;1;-;3;2;1;14
"351910 IACANGA";-;-;1;-;-;-;-;-;-;1
